,Reward,Average Reward
405,211.30980695743827,89.99129445414012
406,187.05097351650596,92.16280441959312
407,220.6070851880701,93.98762372083625
408,185.08113568737252,95.24154823763489
409,207.4720864669536,97.3428208735061
410,238.39784859832596,100.15634018043342
411,186.27166188198743,101.39915567394495
412,219.3202111005348,104.18184162716533
413,219.1451707679259,105.71074098769519
414,228.71366692789468,108.5367453588987
415,242.87578952663088,110.59065288381271
416,193.13581233781574,112.2391443429296
417,232.6616815467018,113.98367783132504
418,226.68479250330637,116.14874041840389
419,205.47821222162926,118.09074448350178
420,223.1602351715211,120.30912196676411
421,198.3215908590338,122.94168839932568
422,253.04069920279196,125.45323488159866
423,262.73339803503234,127.21468165311094
424,188.19968128563573,128.40308662863313
425,219.73090421860854,130.34541450267687
426,199.9841112886943,132.1110463914385
427,241.04621485213934,134.18442485758675
428,246.4230301314507,136.40545211282048
429,192.57570193436044,137.55493031746545
430,199.33517634531876,139.70143842870968
431,187.4830742622946,141.4350385069941
432,242.80897059272763,144.90587598452072
433,236.73493168362953,146.633604255598
434,262.94263875960087,148.9351520969588
435,228.78133955237638,151.14252425040047
436,220.60824128066992,153.29099418562558
437,206.19973081138428,155.54598879600033
438,123.45555220817201,156.5980558282484
439,250.97013202514603,159.1955980252296
440,249.7005069790658,162.3904433577856
441,220.38497751998923,164.72708028696175
442,240.32365977434722,165.5169715133496
443,247.666084819127,167.77780667772015
444,223.4559504790793,169.92214526745204
445,218.07418218912963,170.03839164465916
446,250.7256343747533,170.88050487573975
447,215.63334837064065,171.06868180344065
448,254.50095360049113,172.90599727771792
449,253.19685218708273,173.1260087743641
450,268.4340518343756,173.82478507304768
451,263.08020809497464,176.3571111790192
452,-29.01746468421416,173.8994813286812
453,242.8487120537634,174.77396701302075
454,246.49385932006334,174.51707157153433
455,224.37291041863074,177.5279039835427
456,280.2213696381532,179.72512941861308
457,232.5190563407488,181.86168053684986
458,263.6903323731306,184.3822119148591
459,281.5383674922683,186.04000109854744
460,209.002160908387,188.37092961334642
461,204.84163165884638,191.09819392136052
462,-17.493094571363855,190.17581262600856
463,245.294536212141,191.43193764374834
464,229.74285214725194,192.3718303795933
465,142.24157416274426,193.43445024735888
466,258.17935306195255,194.10172929583172
467,229.5853874819766,193.9222729350148
468,254.03567970926014,195.77681359718505
469,233.35618036872063,196.82743423254828
470,234.9267288642373,198.36541676876158
471,241.92429686973423,200.1162472091051
472,260.1513933172977,202.58529659993354
473,243.00392088064655,204.36881788417494
474,213.43719450642402,205.54298316017656
475,218.40426341848695,206.80715952135472
476,269.0223260399995,209.62142063857974
477,213.78723121110056,211.1480992406261
478,236.5266044436804,213.39563044664936
479,259.79636247734595,215.69662656556557
480,195.7093651450288,215.0987466028539
481,263.07549109801886,216.67695361447255
482,244.36518698987777,217.95797475288117
483,252.95008678585097,218.51326696970304
484,203.4548734584427,218.63079802322164
485,255.66926258112335,218.7702984063306
486,205.78303687316674,219.9776355798479
487,223.35364718647082,220.35670218131017
488,225.16094133300743,220.4197961755407
489,223.72221434285834,220.82252048789968
490,224.01702459592275,220.80786402378735
491,241.0494245027642,221.0146364340747
492,257.6738298624981,221.37207653512357
493,218.41594681458318,221.3182793960294
494,251.01620250496524,221.5324700638157
495,221.6253783458066,221.20405475345643
496,186.25321760710509,220.7099736590434
497,253.95334072629052,221.0503736041353
498,222.45311165519377,221.09674812800304
499,233.28776098714383,221.46206252660454
500,220.46741605898958,222.9030432413212
501,254.1375725485704,223.1713268523021
502,254.42798896414132,223.40437841643546
503,237.57964084642157,223.92401247406178
504,253.8439013117692,224.3979728920016
505,219.26238829907857,224.47749870541801
506,262.47812428593085,225.2317702131123
507,269.8240597812593,225.72393995904415
508,265.1434406168456,226.52456300833884
509,61.17280635152133,225.06157020718456
510,223.5259997060856,224.91285171826215
511,260.56434648520815,225.65577856429437
512,203.46177047783925,225.4971941580674
513,228.81142104318883,225.59385666082005
514,218.11549002668295,225.48787489180796
515,242.04943064201882,225.47961130296187
516,253.33688238427203,226.0816220034264
517,213.33831885190847,225.88838837647847
518,220.6907378920592,225.82844783036597
519,-92.14892351335777,222.85217647301607
520,201.5524784976211,222.63609890627708
521,251.74147568517876,223.17029775453855
522,244.65621462365073,223.08645290874716
523,245.527072982392,222.91438965822076
524,236.43029856287424,223.3966958309931
525,-91.28390565200132,220.286547732287
526,246.5215938665725,220.75192255806581
527,262.2732332891221,220.96419274243559
528,221.20180241336556,220.7119804652547
529,208.20910454143035,220.86831449132544
530,279.91295870152805,221.67409231488753
531,215.59159038194352,221.95517747608403
532,255.76039139879944,222.0846916841448
533,241.64372091288152,222.13377957643723
534,237.20337813764885,221.87638697021777
535,247.377346893575,222.06234704362976
536,215.60884894362968,222.01235312025935
537,267.25358024078287,222.62289161455337
538,267.52366627188155,224.06357275519048
539,240.11000894955893,223.9549715244346
540,281.8080017789081,224.276046472433
541,243.44971504731149,224.50669384770623
542,264.7390488676451,224.7508477386392
543,227.59231828491838,224.5501100732971
544,251.15617696069467,224.8271123381133
545,210.18233362033004,224.74819385242532
546,253.1211471453159,224.7721489801309
547,262.8109455118789,225.2439249515433
548,253.04805069129935,225.2293959224514
549,230.81849163580054,225.00561231693857
550,234.49482164062124,224.66622001500102
551,246.5099954051062,224.50051788810234
552,260.84641515462044,227.39915668649073
553,243.00775787533436,227.4007471447064
554,249.95160111554472,227.43532456266118
555,252.81434686834504,227.71973892715832
556,267.38461387962366,227.59137136957307
557,241.1527491246091,227.67770829741167
558,209.1412165080877,227.13221713876118
559,169.9906649280565,226.0167401131191
560,268.68182539603936,226.61353675799563
561,269.30325373041967,227.25815297871137
562,235.06185771526495,229.78370250157764
563,176.61268038257694,229.09688394328202
564,244.77068496524984,229.24716227146192
565,262.35966582729907,230.44834318810746
566,257.21010723677057,230.43865072985568
567,267.1414471357489,230.81421132639338
568,264.04473518988226,230.91430188119963
569,268.70410354082014,231.26778111292063
570,251.64219815929945,231.43493580587128
571,249.86211719331757,231.51431400910712
572,241.1673559904347,231.32447363583847
573,245.64024482046662,231.35083687523667
574,280.9376179007111,232.02584110917957
575,288.00009800624673,232.72179945505718
576,247.00593285911438,232.50163552324832
577,226.87568006510315,232.63252001178833
578,254.74186769643555,232.81467264431592
579,230.58909422286465,232.52259996177108
580,233.70214503200444,232.90252776064085
581,235.21268107479722,232.62389966040865
582,287.6972346390513,233.05722013690036
583,242.6073048378296,232.95379231742015
584,251.9537221798105,233.43878080463378
585,224.42127996731946,233.12630097849575
586,229.65858158749253,233.365056425639
587,254.13786215951325,233.67289857536943
588,230.64607500740462,233.72774991211344
589,125.36660985048698,232.74419386718972
590,241.80128937176883,232.92203651494813
591,280.85802344110516,233.32012250433155
592,261.3048379456875,233.35643258516345
593,220.7968707432056,233.38024182444968
594,230.36983120768895,233.1737781114769
595,272.1169202035867,233.6786935300547
596,234.3910438937289,234.1600717929209
597,180.25555315864844,233.4230939172445
598,276.3867486890765,233.9624302875833
599,222.6232131088041,233.85578480879994
600,258.1223180425744,234.23233382863577
601,134.33782073621973,233.0343363105123
602,241.10711609768163,232.90112758184767
603,251.39890724370542,233.03932024582056
604,203.44907830650345,232.53537201576793
605,230.01282772471092,232.64287641002426
606,264.2164298272404,232.66025946543735
607,246.52309891999778,232.42724985682472
608,255.94515775289628,232.3352670281852
609,232.31079356583587,234.04664690032837
610,255.13041575662356,234.36269106083375
611,-81.74580679841515,230.9395895279975
612,281.84878745709483,231.7234596977901
613,276.5317048149536,232.20066253550772
614,255.86762864413794,232.57818392168224
615,170.28513251139807,231.8605409403761
616,256.21631625313177,231.88933527906465
617,-89.56382111876522,228.8603138793579
618,244.78247467343027,229.1012312471716
619,234.64086142199616,232.36912909652514
620,279.73302969720237,233.1509346085209
621,254.58094366505637,233.1793292883197
622,237.03666590027075,233.10313380108593
623,267.1807167459387,233.31967023872141
624,231.53356854612028,233.27070293855388
625,93.64324008254903,235.11997439589936
626,285.28949354045676,235.5076533926382
627,272.6876561119609,235.61179762086664
628,260.0447397235496,236.0002269939685
629,210.33938493789776,236.02152979793317
630,206.05566375582498,235.2829568484761
631,248.4130828555698,235.61117177321236
632,242.38877804144593,235.47745563963883
633,192.98834772745298,234.9909019077845
634,213.47797230377216,234.75364784944568
635,274.0833568952118,235.0207079494621
636,222.13571193281388,235.08597657935397
637,273.3319341386233,235.14676011833234
638,253.40339601408942,235.00555741575442
639,230.1481349699701,234.90593867595854
640,259.55304377093137,234.68338909587882
641,240.86624868280208,234.65755443223372
642,244.58969465316574,234.4560608900889
643,185.82279643763434,234.03836567161608
644,203.75129592242627,233.5643168612334
645,259.2852760906393,234.0553462859365
646,11.634206274623438,231.64047687722953
647,260.6025549727091,231.6183929718378
648,220.5557039397396,231.29346950432225
649,265.66368464164873,231.64192143438075
650,239.82178951772826,231.69519111315182
651,268.84996201006345,231.91859077920137
652,264.7387651894602,231.95751427954977
653,284.6157831419797,232.37359453221626
654,206.79871536604318,231.9420656747212
655,262.0220349052913,232.03414255509068
656,274.1104648815026,232.10140106510946
657,274.0472606501045,232.43034618036444
658,233.08292519349607,232.6697632672185
659,240.72775111156466,233.3771341290536
660,271.39503176878895,233.4042661927811
661,242.06697139822992,233.13190336945917
662,295.434309908439,233.73562789139098
663,236.36924181618127,234.333193505727
664,219.66731258339337,234.08215978190844
665,273.0686772840245,234.1892498964757
666,233.50345752100483,233.952183399318
667,215.88543796274928,233.43962330758802
668,244.99129368750965,233.24908889256426
669,262.2492916606775,233.18454077376285
670,263.74732049909005,233.30559199716075
671,256.04687062063846,233.36743953143394
672,254.6613514301632,233.50237948583126
673,255.42090512467936,233.6001860888734
674,259.6708337250398,233.38751824711667
675,287.27791332038987,233.38029640025812
676,232.39802898782344,233.2342173615452
677,276.121981369865,233.72668037459283
678,213.12948042820443,233.3105565019105
679,222.46641401308779,233.22932969981272
680,268.77908238422395,233.5800990733349
681,268.4585120793281,233.9125573833802
682,240.2882287554888,233.43846732454458
683,234.5739327595237,233.3581336037615
684,295.5630597100005,233.79422697906338
685,206.01434073864232,233.61015758677667
686,245.09369265187843,233.7645086974205
687,236.4961967626199,233.58809204345155
688,115.81955840919225,232.43982687746947
689,245.6925026533989,233.64308580549852
690,193.68389778428215,233.16191188962367
691,223.1341540197875,232.58467319541052
692,134.7950586716116,231.31957540266976
693,109.49849144560883,230.2065916096938
694,257.75215386401453,230.480414836257
695,96.31943915069438,228.72244002572813
696,256.32039250083477,228.9417335117992
697,239.995795120103,229.53913593141377
698,251.69311119511104,229.29219955647412
699,229.58576760312258,229.3618251014173
